backup_path,compressed_path,orig_size,comp_size,orig_codec,comp_codec,orig_resolution,comp_resolution,orig_bitrate,comp_bitrate,duration,size_diff,compression_ratio,classification
/home/brian/share/orig_video_to_delete/home/brian/share/video_courses/beyond_tells/week_05/BT2_week_05_part_01_video_01_High_Level_Regulation_and_Concealment_Strategies.m4v,/home/brian/share/video_courses/beyond_tells/week_05/BT2_week_05_part_01_video_01_High_Level_Regulation_and_Concealment_Strategies.mp4,195944400,26143569,h264,hevc,1920x1080,1920x1080,10012286,1216144,154.6,169800831,0.13342340480258685,good
/home/brian/share/orig_video_to_delete/home/brian/share/video_courses/beyond_tells/week_05/BT2_week_05_part_01_video_02_Concealment_Strategies.m4v,/home/brian/share/video_courses/beyond_tells/week_05/BT2_week_05_part_01_video_02_Concealment_Strategies.mp4,331318603,50226961,h264,hevc,1920x1080,1920x1080,10000314,1397607,261.8,281091642,0.15159716522165825,good
/home/brian/share/orig_video_to_delete/home/brian/share/video_courses/beyond_tells/week_05/BT2_week_05_part_01_video_03_The_Elements_of_a_Concealment_Strategy.m4v,/home/brian/share/video_courses/beyond_tells/week_05/BT2_week_05_part_01_video_03_The_Elements_of_a_Concealment_Strategy.mp4,270349129,45477166,h264,hevc,1920x1080,1920x1080,10004049,1573740,213.6,224871963,0.16821643246352017,good
/home/brian/share/orig_video_to_delete/home/brian/share/video_courses/beyond_tells/week_05/BT2_week_05_part_02_video_01_Dissecting_Breathing.m4v,/home/brian/share/video_courses/beyond_tells/week_05/BT2_week_05_part_02_video_01_Dissecting_Breathing.mp4,35748727,7906285,h264,hevc,1920x1080,1920x1080,1683212,258510,157.133333,27842442,0.221162700422871,good
/home/brian/share/orig_video_to_delete/home/brian/share/video_courses/beyond_tells/week_05/BT2_week_05_part_02_video_02_Dissecting_Blink_Rates.m4v,/home/brian/share/video_courses/beyond_tells/week_05/BT2_week_05_part_02_video_02_Dissecting_Blink_Rates.mp4,64511353,13622802,h264,hevc,1920x1080,1920x1080,1547843,210842,307.0,50888551,0.21116906352901946,good
/home/brian/share/orig_video_to_delete/home/brian/share/video_courses/beyond_tells/week_05/BT2_week_05_part_04_video_01_Learning_to_Develop_a_Concealment_Strategy.m4v,/home/brian/share/video_courses/beyond_tells/week_05/BT2_week_05_part_04_video_01_Learning_to_Develop_a_Concealment_Strategy.mp4,37325265,5679257,h264,hevc,1920x1080,1920x1080,10088361,1423604,29.1,31646008,0.15215583867924312,good
/home/brian/share/orig_video_to_delete/home/brian/share/video_courses/beyond_tells/week_07/BT2_week_07_part_01_video_01_The_Power_of_a_Systems_Based_Approach_and_The_Intention_of_Week_7.m4v,/home/brian/share/video_courses/beyond_tells/week_07/BT2_week_07_part_01_video_01_The_Power_of_a_Systems_Based_Approach_and_The_Intention_of_Week_7.mp4,86443943,13756206,h264,hevc,1920x1080,1920x1080,10011221,1477835,68.133333,72687737,0.15913441153418928,good
/home/brian/share/orig_video_to_delete/home/brian/share/video_courses/beyond_tells/week_07/BT2_week_07_part_02_video_01_The_Elements_of_an_Effective_System.m4v,/home/brian/share/video_courses/beyond_tells/week_07/BT2_week_07_part_02_video_01_The_Elements_of_an_Effective_System.mp4,150267127,22609913,h264,hevc,1920x1080,1920x1080,10007805,1388046,118.6,127657214,0.1504647985982989,good
/home/brian/share/orig_video_to_delete/home/brian/share/video_courses/beyond_tells/week_07/BT2_week_07_part_02_video_02_Observation.m4v,/home/brian/share/video_courses/beyond_tells/week_07/BT2_week_07_part_02_video_02_Observation.mp4,185695723,28253562,h264,hevc,1920x1080,1920x1080,10007491,1404477,146.566667,157442161,0.15214977245329447,good
/home/brian/share/orig_video_to_delete/home/brian/share/video_courses/beyond_tells/week_07/BT2_week_07_part_02_video_03_Validation.m4v,/home/brian/share/video_courses/beyond_tells/week_07/BT2_week_07_part_02_video_03_Validation.mp4,247583497,37397072,h264,hevc,1920x1080,1920x1080,10004495,1392925,195.533333,210186425,0.15104832290174816,good
/home/brian/share/orig_video_to_delete/home/brian/share/video_courses/beyond_tells/week_07/BT2_week_07_part_02_video_04_Execution.m4v,/home/brian/share/video_courses/beyond_tells/week_07/BT2_week_07_part_02_video_04_Execution.mp4,188979378,29551160,h264,hevc,1920x1080,1920x1080,10008226,1447863,149.166667,159428218,0.15637240588229684,good
/home/brian/share/orig_video_to_delete/home/brian/share/video_courses/beyond_tells/week_07/BT2_week_07_part_03_video_01_The_Recon_Process.m4v,/home/brian/share/video_courses/beyond_tells/week_07/BT2_week_07_part_03_video_01_The_Recon_Process.mp4,344795702,52506085,h264,hevc,1920x1080,1920x1080,10007481,1405737,272.266667,292289617,0.15228172710807167,good
/home/brian/share/orig_video_to_delete/home/brian/share/video_courses/beyond_tells/week_07/BT2_week_07_part_04_video_01_Becoming_Unreadable.m4v,/home/brian/share/video_courses/beyond_tells/week_07/BT2_week_07_part_04_video_01_Becoming_Unreadable.mp4,78139281,11005484,h264,hevc,1920x1080,1920x1080,10010266,1292617,61.566667,67133797,0.14084444928537287,good
/home/brian/share/orig_video_to_delete/home/brian/share/video_courses/beyond_tells/week_08/BT2_week_08_part_01_video_01_The_Pre_Built_Systems_and_the_Intention_of_Week_8.m4v,/home/brian/share/video_courses/beyond_tells/week_08/BT2_week_08_part_01_video_01_The_Pre_Built_Systems_and_the_Intention_of_Week_8.mp4,78203646,13151761,h264,hevc,1920x1080,1920x1080,10003631,1569353,61.633333,65051885,0.16817324604021658,good
/home/brian/share/orig_video_to_delete/home/brian/share/video_courses/beyond_tells/week_08/BT2_week_08_part_04_video_01_Becoming_Unreadable.m4v,/home/brian/share/video_courses/beyond_tells/week_08/BT2_week_08_part_04_video_01_Becoming_Unreadable.mp4,103352751,15814635,h264,hevc,1920x1080,1920x1080,10001514,1414100,81.566667,87538116,0.15301610113890438,good
/home/brian/share/orig_video_to_delete/home/brian/share/video_courses/beyond_tells/week_09/BT2_week_09_part_01_video_01_Building_Your_Own_System_and_The_Intention_of_Week_9.m4v,/home/brian/share/video_courses/beyond_tells/week_09/BT2_week_09_part_01_video_01_Building_Your_Own_System_and_The_Intention_of_Week_9.mp4,36757455,5348849,h264,hevc,1920x1080,1920x1080,10108336,1358319,28.6,31408606,0.14551739232218336,good
/home/brian/share/orig_video_to_delete/home/brian/share/video_courses/beyond_tells/week_09/BT2_week_09_part_02_video_02_Backtesting_Your_System.m4v,/home/brian/share/video_courses/beyond_tells/week_09/BT2_week_09_part_02_video_02_Backtesting_Your_System.mp4,122063215,18158478,h264,hevc,1920x1080,1920x1080,10014821,1372396,96.233333,103904737,0.1487629012557141,good
/home/brian/share/orig_video_to_delete/home/brian/share/video_courses/beyond_tells/week_09/BT2_week_09_part_04_video_01_How_to_Use_The_System_Assessment_Tool.m4v,/home/brian/share/video_courses/beyond_tells/week_09/BT2_week_09_part_04_video_01_How_to_Use_The_System_Assessment_Tool.mp4,36757455,5348849,h264,hevc,1920x1080,1920x1080,10108336,1358319,28.6,31408606,0.14551739232218336,good
/home/brian/share/orig_video_to_delete/home/brian/share/video_courses/beyond_tells/week_09/BT2_week_09_part_05_video_01_Becoming_Unreadable.m4v,/home/brian/share/video_courses/beyond_tells/week_09/BT2_week_09_part_05_video_01_Becoming_Unreadable.mp4,91394542,10046635,h264,hevc,1920x1080,1920x1080,10023986,980187,71.966667,81347907,0.10992598442038257,good
/home/brian/share/orig_video_to_delete/home/brian/share/video_courses/beyond_tells/week_10/BT2_week_10_part_01_video_01_The_Intention_of_Week_10_and_Massive_Reinforcement.m4v,/home/brian/share/video_courses/beyond_tells/week_10/BT2_week_10_part_01_video_01_The_Intention_of_Week_10_and_Massive_Reinforcement.mp4,56667672,8820150,h264,hevc,1920x1080,1920x1080,10050236,1450316,44.433333,47847522,0.15564694452244307,good
/home/brian/share/orig_video_to_delete/home/brian/share/video_courses/beyond_tells/week_10/BT2_week_10_part_01_video_02_5_Very_Important_Tips_Before_You_Dive_In.m4v,/home/brian/share/video_courses/beyond_tells/week_10/BT2_week_10_part_01_video_02_5_Very_Important_Tips_Before_You_Dive_In.mp4,153525166,23698817,h264,hevc,1920x1080,1920x1080,10011821,1428626,121.066667,129826349,0.1543643795832144,good
/home/brian/share/orig_video_to_delete/tmp/claude/-home-brian-userfiles-claude-compress-video/647ba49a-fbad-4b3d-969a-2f2e01229f04/scratchpad/test_videos/test_h264.mp4,,74868,0,h264,,1280x720,,115545,0,5.0,0,0,missing
